pp_boiler,distance,year,automobile,bus,truck,motorcycle,all_mv,num_pp_50_mi,num_pp_100_mi,num_pp_150_mi,fuel_Fossil_fuel,fuel_Gas,fuel_Hydro,fuel_Nuclear,fuel_Oil,fuel_Sun,fuel_Wind,dir_NW,dir_SE,dir_SW,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,state_California,state_Colorado,state_Nevada,state_New Mexico,state_Utah,fuel,state,lat,long
0.0,116.48467849804102,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.23,-114.87
0.0,127.64650912187945,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.1375,-115.0339
1.0,127.7061011226244,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.1384,-115.036
0.0,129.82333094201707,2016,1047362,3128.0,1273607,74562.0,2398659.0,29,67,151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,35.937336,-114.883999
0.0,108.5297553101486,2016,940604,5986.0,1288069,82623.0,2317282.0,29,67,151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hydro,Utah,37.9858,-111.4383
0.0,142.42935322573197,2016,940604,5986.0,1288069,82623.0,2317282.0,29,67,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,39.1625,-112.343
0.0,141.62210534838871,2016,940604,5986.0,1288069,82623.0,2317282.0,29,67,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,39.154474,-112.359849
0.0,128.89699537655434,2016,940604,5986.0,1288069,82623.0,2317282.0,29,67,151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sun,Utah,38.960519,-112.36327
0.0,138.97290263852958,2016,2377962,9016.0,3233330,166583.0,5786891.0,2,38,132,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydro,Arizona,36.936614,-111.483872
0.0,118.80926704550427,2016,2377962,9016.0,3233330,166583.0,5786891.0,2,38,132,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Arizona,36.771944,-110.263889
3.0,137.3296235143144,2016,2377962,9016.0,3233330,166583.0,5786891.0,2,38,132,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fossil_fuel,Arizona,36.9047,-111.3886
0.0,113.17248606945631,2016,1807777,12771.0,3105201,190592.0,5116341.0,2,38,132,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hydro,Colorado,37.866,-107.8831
0.0,134.70916962479762,2016,1807777,12771.0,3105201,190592.0,5116341.0,2,38,132,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hydro,Colorado,38.453191,-107.337483
0.0,119.10506283732704,2016,1807777,12771.0,3105201,190592.0,5116341.0,2,38,132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hydro,Colorado,38.510573,-107.625335
